Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,Precision(1),Recall(1),F1-Score(1),Precision(0),Recall(0),F2-Score,Custom Score,PScore,Customer Retained per $100
LightGBM,Original,Tuned - Rank 1,0.5,0.8635870076548042,0.853,0.869281045751634,0.32678132678132676,0.475,0.8516513264753655,0.9874450721908349,0.373385738349242,28.40648134765782,24.693215812016277,86.9281045751634
LightGBM,Original,Tuned - Rank 2,0.5,0.8637366179739061,0.852,0.8627450980392157,0.32432432432432434,0.4714285714285714,0.8511099079588522,0.9868173258003766,0.37057832678270636,27.98092209856916,24.14040337915771,86.27450980392157
LightGBM,Original,Tuned - Rank 3,0.5,0.8633032107608379,0.8535,0.8701298701298701,0.32923832923832924,0.47771836007130125,0.852112676056338,0.9874450721908349,0.3759820426487093,28.648010466192282,24.92748962642705,87.01298701298701
Logistic Regression,RandomOverSampler,Baseline,0.5,0.7781140154021509,0.716,0.3910690121786198,0.7100737100737101,0.5043630017452007,0.9064234734337827,0.7175141242937854,0.6104773975496409,27.768782437253346,10.859510317139673,39.106901217861974
Logistic Regression,RandomOverSampler,Tuned - Rank 1,0.5,0.7647385443995613,0.6585,0.347682119205298,0.773955773955774,0.4798172124904798,0.9159049360146252,0.6290018832391714,0.6215469613259669,26.909058366012005,9.355798438514109,34.7682119205298
Logistic Regression,RandomOverSampler,Tuned - Rank 2,0.5,0.7745881474695034,0.692,0.37082818294190356,0.7371007371007371,0.4934210526315789,0.910159529806885,0.6804770872567483,0.6155108740254411,27.33377269842041,10.136133262702254,37.08281829419035
Logistic Regression,RandomOverSampler,Tuned - Rank 3,0.5,0.7775680148561505,0.7115,0.38666666666666666,0.7125307125307125,0.5012964563526361,0.9064,0.7112366603892027,0.6097560975609756,27.55118755118755,10.653125853125852,38.666666666666664
KNN,RandomOverSampler,Baseline,0.5,0.7379127972348312,0.7195,0.38676470588235295,0.6461916461916462,0.48390064397424104,0.8909090909090909,0.7382297551789078,0.5697573656845754,24.99241219829455,9.666182953163922,38.6764705882353
KNN,RandomOverSampler,Tuned - Rank 1,0.5,0.785532836380294,0.7455,0.42153846153846153,0.6732186732186732,0.5184484389782403,0.9014814814814814,0.7639673571876961,0.6014047410008779,28.378756378756382,11.962737304275766,42.15384615384615
KNN,RandomOverSampler,Tuned - Rank 2,0.5,0.7893880012524079,0.7445,0.42168674698795183,0.687960687960688,0.5228758169934641,0.9049401197604791,0.7589453860640302,0.6108202443280978,29.01039045617359,12.233297180314166,42.168674698795186
KNN,RandomOverSampler,Tuned - Rank 3,0.5,0.7786075752177447,0.7415,0.4153846153846154,0.6633906633906634,0.510879848628193,0.8985185185185185,0.7614563716258631,0.5926251097453907,27.556227556227558,11.446432984894525,41.53846153846154
Decision Tree,RandomOverSampler,Baseline,0.5,0.6764152442118544,0.7905,0.4852216748768473,0.48402948402948404,0.48462484624846247,0.8682559598494354,0.8688010043942247,0.48426745329400195,23.486159693056248,11.395993742689853,48.52216748768473
Decision Tree,RandomOverSampler,Tuned - Rank 1,0.5,0.688166594946256,0.784,0.4722838137472284,0.5233415233415234,0.4965034965034965,0.8747579083279535,0.8505963590709353,0.5122655122655123,24.71657305360188,11.673237384517074,47.22838137472284
Decision Tree,RandomOverSampler,Tuned - Rank 2,0.5,0.6751103954493785,0.777,0.45598194130925507,0.4963144963144963,0.4752941176470588,0.8683365446371226,0.8487131198995606,0.4876871076774505,22.631044752940916,10.31934772030263,45.598194130925506
Decision Tree,RandomOverSampler,Tuned - Rank 3,0.5,0.6871038989683058,0.779,0.4613686534216336,0.5135135135135135,0.48604651162790696,0.8720103425985779,0.8468298807281858,0.502162421912542,23.691903824354156,10.930701764437128,46.13686534216336
Random Forest,RandomOverSampler,Baseline,0.5,0.8515071311681481,0.8485,0.6566265060240963,0.5356265356265356,0.5899864682002707,0.8866906474820144,0.928436911487759,0.5561224489795918,35.17065806222433,23.09398631796657,65.66265060240963
Random Forest,RandomOverSampler,Tuned - Rank 1,0.5,0.8467681857512366,0.8565,0.7380952380952381,0.457002457002457,0.5644916540212443,0.8735697940503433,0.9585687382297552,0.4946808510638298,33.73113373113373,24.896789182503472,73.80952380952381
Random Forest,RandomOverSampler,Tuned - Rank 2,0.5,0.8478648139665089,0.855,0.7276264591439688,0.4594594594594595,0.5632530120481928,0.8737808376362594,0.9560577526679221,0.4960212201591512,33.43148596066884,24.325633753482776,72.76264591439688
Random Forest,RandomOverSampler,Tuned - Rank 3,0.5,0.8500133415387653,0.856,0.7245283018867924,0.47174447174447176,0.5714285714285714,0.8760806916426513,0.9541745134965474,0.5071315372424723,34.179222103750405,24.763813750641802,72.45283018867924
AdaBoost,RandomOverSampler,Baseline,0.5,0.8478740682130514,0.7845,0.4806451612903226,0.7321867321867321,0.5803310613437196,0.9210144927536232,0.7978656622724419,0.6628113879003559,35.19220099865261,16.914961125158836,48.064516129032256
AdaBoost,RandomOverSampler,Tuned - Rank 1,0.5,0.8513690886572244,0.7795,0.4735202492211838,0.7469287469287469,0.5795996186844614,0.9241531664212077,0.7878217200251099,0.6696035242290749,35.368588639616675,16.74774290723282,47.35202492211838
AdaBoost,RandomOverSampler,Tuned - Rank 2,0.5,0.8524186744525727,0.785,0.4816,0.7395577395577395,0.5833333333333334,0.9229090909090909,0.7966101694915254,0.6679982245894364,35.617100737100735,17.153195714987714,48.16
AdaBoost,RandomOverSampler,Tuned - Rank 3,0.5,0.8523438692930219,0.7805,0.47468354430379744,0.7371007371007371,0.5774783445620789,0.9217836257309941,0.7915881983678594,0.6637168141592921,34.98895903959195,16.6086830884139,47.46835443037975
XGBoost,RandomOverSampler,Baseline,0.5,0.8365314467009382,0.78,0.4737678855325914,0.7321867321867321,0.5752895752895753,0.9204959883296864,0.7922159447583177,0.6601683650863979,34.68865599231259,16.43437120144539,47.37678855325914
XGBoost,RandomOverSampler,Tuned - Rank 1,0.5,0.8347793093555806,0.846,0.6410256410256411,0.5528255528255528,0.5936675461741425,0.8896300788356579,0.9209039548022598,0.5684689236988378,35.43753543753544,22.716368870215028,64.1025641025641
XGBoost,RandomOverSampler,Tuned - Rank 2,0.5,0.8384887198446522,0.843,0.6267029972752044,0.5651105651105651,0.5943152454780362,0.8916105327617881,0.9139987445072191,0.5764411027568922,35.41564849466757,22.195093062053246,62.67029972752044
XGBoost,RandomOverSampler,Tuned - Rank 3,0.5,0.8401452299757385,0.8475,0.6424581005586593,0.5651105651105651,0.6013071895424836,0.892204628501827,0.9196484620213434,0.5790533736153072,36.30598602665642,23.32507482159491,64.24581005586593
LightGBM,RandomOverSampler,Baseline,0.5,0.8522220217135471,0.824,0.5542406311637081,0.6904176904176904,0.6148796498905909,0.9156061620897522,0.8581293157564344,0.65807962529274,38.265753650369035,21.208435455135504,55.42406311637082
LightGBM,RandomOverSampler,Tuned - Rank 1,0.5,0.8338492575780712,0.836,0.6082191780821918,0.5454545454545454,0.5751295336787565,0.8868501529051988,0.9102322661644695,0.5569493226292022,33.17559153175591,20.178031013835106,60.82191780821918
